mu,median,q16,q84
0.0,0.0,0.0,0.02673016364690679
0.1,0.0,0.0,0.3520650717665353
0.2,0.0,0.0,0.9510540908994933
0.3,0.11416914166583705,0.0,1.6145477120205638
0.4,0.6085761866121452,0.0,2.8445934363793577
0.5,0.7532097788147425,0.0,3.7214927860393003
0.6,1.265154274522446,0.0,4.352537614829125
0.7,1.9225925421288355,0.17972492566718723,4.781445140346631
0.8,2.733964668541562,0.434208928541038,6.413573114428564
0.9,3.741216044670276,0.9312842175580607,7.53200682644786
1.0,4.315668344843452,1.493103180991825,8.467809908548606
1.1,4.4981839034966224,1.5908940085676924,9.641452899226296
1.2,5.710259137677877,2.2644800501014775,10.514430560722932
1.3,6.74471474750094,3.280579053433712,11.252639055147041
1.4,6.9933557836183695,2.8302218981398837,11.637435227569021
1.5,8.790397045385353,4.876735669465658,13.647319954454971
1.6,8.5573514311596,4.838249090411096,13.562146257432783
1.7,9.444766163680779,5.197383158805016,14.27012116579027
1.8,10.494786556157306,6.030563756283318,16.031072735934984
1.9,10.915695414455662,6.515146994650876,15.400688199762733
2.0,11.743533822995406,6.634486624435102,16.598561755526582
2.1,12.322248606990648,7.4465182617570305,17.011392937393126
2.2,12.398444913736942,7.971720329710617,17.532952199484196
2.3,13.707772633368288,7.959437659833339,18.9012997186735
2.4,13.838290827690727,8.451367569095918,18.957591590550333
2.5,14.242000121313772,9.047477752504449,21.329161012019767
